from, to, travel_time
187, 133, 127
187, 138, 121
187, 172, 15
188, 59, 112
188, 189, 69
189, 188, 69
190, 21, 241
190, 22, 133
190, 23, 212
190, 33, 300
190, 55, 195
190, 56, 181
190, 66, 246
190, 67, 207
190, 68, 126
190, 69, 104
190, 70, 244
190, 72, 148
190, 81, 238
190, 82, 263
190, 85, 296
190, 91, 294
190, 111, 263
190, 120, 238
190, 121, 152
190, 136, 167
190, 153, 284
190, 191, 84
191, 21, 241
191, 22, 133
191, 23, 212
191, 33, 300
191, 55, 195
191, 56, 180
191, 66, 246
191, 67, 207
191, 68, 126
191, 69, 104
191, 70, 244
191, 72, 148
191, 81, 238
191, 82, 262
191, 85, 296
191, 91, 294
191, 111, 262
191, 120, 238
191, 121, 151
191, 136, 167
191, 153, 284
191, 190, 84
